name,medianPayDiff,section,clean_name,highlight
Bright Futures Educational Trust,27.4,Education,Bright Futures Educational Trust,
Brighton & Hove City Council,-7.3,Public Sector,Brighton & Hove City Council,
Brighton & Hove City Council,-7.3,Public administration and defence; compulsory social security,Brighton & Hove City Council,
Brighton Hove and Sussex Sixth Form College,19.4,Public Sector,Brighton Hove And Sussex Sixth Form College,
BRIGHTSTAR 20:20 UK LIMITED,10.1,Information and communication,Brightstar 20:20 Uk,
Bristol City Council,13.5,Public Sector,Bristol City Council,
Bristol City Council,13.5,Public administration and defence; compulsory social security,Bristol City Council,
BRISTOL WESSEX BILLING SERVICES LIMITED,2.7,Other service activities,Bristol Wessex Billing Services,
BRIT GROUP SERVICES LIMITED,31.2,Administrative and support service activities,Brit Group Services,
BRITE SERVICES LIMITED,0,Administrative and support service activities,Brite Services,
BRITISH AMERICAN TOBACCO (INVESTMENTS) LIMITED,31,"Professional, scientific and technical activities",British American Tobacco (investments),
British Broadcasting Corporation,9.3,Public Sector,British Broadcasting Corporation,
BRITISH ENERGY LIMITED,25.4,"Professional, scientific and technical activities",British Energy,
BRITISH GAS SERVICES (COMMERCIAL) LIMITED,44.1,Construction,British Gas Services (commercial),
BRITISH GAS SERVICES LIMITED,37,Other service activities,British Gas Services,
BRITISH GAS TRADING LIMITED,8.5,"Electricity, gas, steam and air conditioning supply",British Gas Trading,
British Medical Association,13.6,"Professional, scientific and technical activities",British Medical Association,
British Medical Association,13.6,Other service activities,British Medical Association,
BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,-2.3,Information and communication,British Telecommunications Public  Company,
BRITISH UNITED PROVIDENT ASSOCIATION LIMITED(THE),20.2,Human health and social work activities,British United Provident Association (the),
BRITISH-AMERICAN TOBACCO (HOLDINGS) LIMITED,44,"Professional, scientific and technical activities",British-american Tobacco (holdings),
Broadland District Council,25.5,Public Sector,Broadland District Council,
Broadland District Council,25.5,Public administration and defence; compulsory social security,Broadland District Council,
Brockenhurst College,8.1,Public Sector,Brockenhurst College,
Brockenhurst College,8.1,Education,Brockenhurst College,
Brook Learning Trust,37,Public Sector,Brook Learning Trust,
Brook Learning Trust,37,Education,Brook Learning Trust,
Brooksby Melton College,20,Public Sector,Brooksby Melton College,
Brooksby Melton College,20,Education,Brooksby Melton College,
Broxtowe Borough Council,0,Public Sector,Broxtowe Borough Council,
Broxtowe Borough Council,0,Public administration and defence; compulsory social security,Broxtowe Borough Council,
BRUNEL HEALTHCARE MANUFACTURING LIMITED,13.2,Manufacturing,Brunel Healthcare Manufacturing,
Brunelcare,7.3,Human health and social work activities,Brunelcare,
BRUNNING AND PRICE LIMITED,0,Accommodation and food service activities,Brunning And Price,
Bsw Heating Ltd,46.5,Construction,Bsw Heating,
BT FACILITIES SERVICES LIMITED,26.1,Administrative and support service activities,Bt Facilities Services,
BT FLEET LIMITED,2.2,Wholesale and retail trade; repair of motor vehicles and motorcycles,Bt Fleet,
BT MANAGED SERVICES LIMITED,10.2,Information and communication,Bt Managed Services,
BT SOUTH TYNESIDE LIMITED,36.4,Information and communication,Bt South Tyneside,
BULLOUGHS CLEANING SERVICES LIMITED,0,Administrative and support service activities,Bulloughs Cleaning Services,
BUOYANT UPHOLSTERY LIMITED,-4.4,Manufacturing,Buoyant Upholstery,
BUPA CARE HOMES (AKW) LIMITED,3.1,Other service activities,Bupa Care Homes (akw),
BUPA CARE HOMES (ANS) LIMITED,2.2,Other service activities,Bupa Care Homes (ans),
BUPA CARE HOMES (BNH) LIMITED,5,Other service activities,Bupa Care Homes (bnh),
BUPA CARE HOMES (CARRICK) LIMITED,0.6,Other service activities,Bupa Care Homes (carrick),
BUPA CARE HOMES (CFCHOMES) LIMITED,1.2,Human health and social work activities,Bupa Care Homes (cfchomes),
BUPA CARE HOMES (CFHCARE) LIMITED,3,Human health and social work activities,Bupa Care Homes (cfhcare),
BUPA CARE HOMES (GL) LIMITED,2.1,Human health and social work activities,Bupa Care Homes (gl),
BUPA CARE HOMES (PARTNERSHIPS) LIMITED,0.4,Human health and social work activities,Bupa Care Homes (partnerships),
BUPA CARE HOMES LIMITED,1.8,Financial and insurance activities,Bupa Care Homes,
BUPA INSURANCE SERVICES LIMITED,6.9,Administrative and support service activities,Bupa Insurance Services,
BUPA OCCUPATIONAL HEALTH LIMITED,28.5,Human health and social work activities,Bupa Occupational Health,
BURBERRY LIMITED,7.8,Manufacturing,Burberry,
BURBERRY LIMITED,7.8,Wholesale and retail trade; repair of motor vehicles and motorcycles,Burberry,
BURGER & LOBSTER RESTAURANT GROUP LIMITED,0.3,Financial and insurance activities,Burger & Lobster Restaurant Group,
Burnley Borough Council,7.9,Public Sector,Burnley Borough Council,
Burnley Borough Council,7.9,Public administration and defence; compulsory social security,Burnley Borough Council,
Bury Council,7.7,Public Sector,Bury Council,
Bury Council,7.7,Public administration and defence; compulsory social security,Bury Council,
Bury St Edmunds Academy Trust,36.6,Public Sector,Bury St Edmunds Academy Trust,
Bury St Edmunds Academy Trust,36.6,Education,Bury St Edmunds Academy Trust,
BUTCHER'S PET CARE LIMITED,0,Manufacturing,Butcher's Pet Care,
BWB CONSULTING LIMITED,26.9,Construction,Bwb Consulting,
BWB CONSULTING LIMITED,26.9,"Professional, scientific and technical activities",Bwb Consulting,
C P PHARMACEUTICALS LIMITED,21,Manufacturing,C P Pharmaceuticals,
C-RETAIL LIMITED,2,Wholesale and retail trade; repair of motor vehicles and motorcycles,C-retail,
C.G.MURRAY & SON LIMITED,22,Wholesale and retail trade; repair of motor vehicles and motorcycles,C.g.murray & Son,
CACI LIMITED,26.5,Information and communication,Caci,
CACI LIMITED,26.5,"Professional, scientific and technical activities",Caci,
CADBURY UK LIMITED,9.8,Manufacturing,Cadbury Uk,
CADENT GAS LIMITED,13,"Electricity, gas, steam and air conditioning supply",Cadent Gas,
Cafcass,0,Public Sector,Cafcass,
Calderdale & Huddersfield N H S,7.8,Public Sector,Calderdale & Huddersfield N H S,
Calderdale & Huddersfield N H S,7.8,Human health and social work activities,Calderdale & Huddersfield N H S,
Calderdale College,1.1,Public Sector,Calderdale College,
Calderdale College,1.1,Education,Calderdale College,
CALLCREDIT LIMITED,34.8,Information and communication,Callcredit,
Cambridge City Council,8.2,Public Sector,Cambridge City Council,
Cambridge City Council,8.2,Public administration and defence; compulsory social security,Cambridge City Council,
Cambridgeshire & Peterborough CCG,23.3,Public Sector,Cambridgeshire & Peterborough Ccg,
Cambridgeshire Fire & Rescue Service,13.9,Public Sector,Cambridgeshire Fire & Rescue Service,
Cambridgeshire Police,13.1,Public Sector,Cambridgeshire Police,
Cambridgeshire Police,13.1,Public administration and defence; compulsory social security,Cambridgeshire Police,
CAMPBELL'S PRIME MEAT LIMITED,-13.1,Manufacturing,Campbell's Prime Meat,
CAMPHILL VILLAGE TRUST LIMITED(THE),4.8,Human health and social work activities,Camphill Village Trust (the),
Canal & River Trust,-13.8,"Water supply, sewerage, waste management and remediation activities",Canal & River Trust,
Canal & River Trust,-13.8,Transportation and storage,Canal & River Trust,
Canal & River Trust,-13.8,"Arts, entertainment and recreation",Canal & River Trust,
Canefield Ltd,2,Accommodation and food service activities,Canefield,
"CANFORD SCHOOL,LIMITED",14.6,Education,"Canford School,",
CANON (UK) LIMITED,15.8,Administrative and support service activities,Canon,
Canterbury Cathedral,18,"Arts, entertainment and recreation",Canterbury Cathedral,
Canterbury Christ Church University,19.3,Public Sector,Canterbury Christ Church University,
Canterbury Christ Church University,19.3,Education,Canterbury Christ Church University,
Canterbury College,3.2,Public Sector,Canterbury College,
Canterbury College,3.2,Education,Canterbury College,
CAPGEMINI UK PLC,17,Information and communication,Capgemini Uk,
CAPITAL (HAIR AND BEAUTY) LIMITED,27.9,Wholesale and retail trade; repair of motor vehicles and motorcycles,Capital (hair And Beauty),
CAPITAL HILL HOTELS GROUP LONDON LIMITED,3.3,Accommodation and food service activities,Capital Hill Hotels Group London,
CARAVAN CLUB LIMITED(THE),-3.6,Other service activities,Caravan Club (the),
Cardinal Newman College,11.5,Public Sector,Cardinal Newman College,
CARDINAL SECURITY LIMITED,-4,Administrative and support service activities,Cardinal Security,
CARE AT HOME SERVICES (SOUTH EAST) LIMITED,0,Human health and social work activities,Care At Home Services (south East),
Care Quality Commission,-1,Public Sector,Care Quality Commission,
Career Choices Dewis Gyrfa Ltd.,0,"Professional, scientific and technical activities",Career Choices Dewis Gyrfa,
Career Choices Dewis Gyrfa Ltd.,0,Education,Career Choices Dewis Gyrfa,
CAREER LEGAL LIMITED,16.4,Administrative and support service activities,Career Legal,
CAREROOM LIMITED,8.7,Education,Careroom,
CARLSBERG SUPPLY COMPANY UK LIMITED,-1.5,Manufacturing,Carlsberg Supply Company Uk,
CARLSBERG UK LIMITED,41.7,Manufacturing,Carlsberg Uk,
CARLUCCIO'S LIMITED,4,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carluccio's,
CARLUCCIO'S LIMITED,4,Accommodation and food service activities,Carluccio's,
CARNAUDMETALBOX ENGINEERING LIMITED,16.7,Manufacturing,Carnaudmetalbox Engineering,
Carpetright PLC,6.5,Wholesale and retail trade; repair of motor vehicles and motorcycles,Carpetright,
CARTER SYNERGY LIMITED,39.4,Manufacturing,Carter Synergy,
Cartrefi Cymunedol Gwynedd Cyfyngedig,-0.7,Real estate activities,Cartrefi Cymunedol Gwynedd Cyfyngedig,
CASHINO GAMING LIMITED,-1.8,"Arts, entertainment and recreation",Cashino Gaming,
CASKADE CATERERS LIMITED,0,Accommodation and food service activities,Caskade Caterers,
CASNA LIMITED,0,Administrative and support service activities,Casna,
CASTELL HOWELL FOODS LIMITED,-8.2,Wholesale and retail trade; repair of motor vehicles and motorcycles,Castell Howell Foods,
Castle Point Borough Council,-12.5,Public Sector,Castle Point Borough Council,
Castle Point Borough Council,-12.5,Public administration and defence; compulsory social security,Castle Point Borough Council,
CATERING UK LIMITED,-3,Accommodation and food service activities,Catering Uk,
Catholic Agency For Overseas Development,7.6,Human health and social work activities,Catholic Agency For Overseas Development,
Cca International (UK) Ltd,13,Administrative and support service activities,Cca International,
CCG (SCOTLAND) LIMITED,10.2,Construction,Ccg (scotland),
CCL LABEL LIMITED,18.8,Manufacturing,Ccl Label,
CENTAUR SERVICES LIMITED,-2.6,"Professional, scientific and technical activities",Centaur Services,
Center Parcs (Operating Co.) Ltd.,13.2,"Professional, scientific and technical activities",Center Parcs (operating Co.),
CENTER PARCS LIMITED,13.2,Financial and insurance activities,Center Parcs,
Central Sussex College,11.2,Public Sector,Central Sussex College,
Centrica PLC,12,"Electricity, gas, steam and air conditioning supply",Centrica,
CENTRICA STORAGE LIMITED,36.8,Mining and Quarrying,Centrica Storage,
CENTRICA STORAGE LIMITED,36.8,"Electricity, gas, steam and air conditioning supply",Centrica Storage,
CENTRICA STORAGE LIMITED,36.8,Transportation and storage,Centrica Storage,
CENTRICA STORAGE LIMITED,36.8,Administrative and support service activities,Centrica Storage,
CENTURY HEALTHCARE LIMITED,5.4,Human health and social work activities,Century Healthcare,
CENTURY HEALTHCARE LIMITED,5.4,Other service activities,Century Healthcare,
Cereal Partners UK,-26,Manufacturing,Cereal Partners,
CERTAS ENERGY UK LIMITED,24.3,Wholesale and retail trade; repair of motor vehicles and motorcycles,Certas Energy Uk,
CFS MANAGEMENT SERVICES LIMITED,8,Administrative and support service activities,Cfs Management Services,
CGF MARKETING SERVICES LIMITED,0.4,Information and communication,Cgf Marketing Services,
CGF MARKETING SERVICES LIMITED,0.4,Administrative and support service activities,Cgf Marketing Services,
CGI IT UK LIMITED,17,Information and communication,Cgi It Uk,
CH4 GAS UTILITY AND MAINTENANCE SERVICES LIMITED,40.7,"Professional, scientific and technical activities",Ch4 Gas Utility And Maintenance Services,
CHARLES RUSSELL SPEECHLYS SERVICES LIMITED,28.1,Other service activities,Charles Russell Speechlys Services,
CHARLES WILSON ENGINEERS LIMITED,1.1,Administrative and support service activities,Charles Wilson Engineers,
CHARLIES STORES LIMITED,6,Wholesale and retail trade; repair of motor vehicles and motorcycles,Charlies Stores,
Charnwood Borough Council,17,Public Sector,Charnwood Borough Council,
Charnwood Borough Council,17,Public administration and defence; compulsory social security,Charnwood Borough Council,
CHARTWELLS HOUNSLOW (FEEDING FUTURES) LIMITED,12,Accommodation and food service activities,Chartwells Hounslow (feeding Futures),
CHATFIELD CLEANING LIMITED,0,Administrative and support service activities,Chatfield Cleaning,
CHELMER HOUSING PARTNERSHIP LIMITED,15.3,Real estate activities,Chelmer Housing Partnership,
CHELMER HOUSING PARTNERSHIP LIMITED,15.3,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Chelmer Housing Partnership,
Chelmsford Star Co-Operative Society Ltd.,0,Wholesale and retail trade; repair of motor vehicles and motorcycles,Chelmsford Star Co-operative Society,
Cheltenham & Gloucester PLC,18.8,Administrative and support service activities,Cheltenham & Gloucester,
CHEMRING COUNTERMEASURES LIMITED,10.5,Manufacturing,Chemring Countermeasures,
CHEMRING ENERGETICS UK LIMITED,28,Administrative and support service activities,Chemring Energetics Uk,
CHEQUERS CONTRACT SERVICES LIMITED,6.3,Administrative and support service activities,Chequers Contract Services,
CHERRY LANE RETAIL CENTRES LIMITED,0,Wholesale and retail trade; repair of motor vehicles and motorcycles,Cherry Lane Retail Centres,
Cheshire Constabulary,26.2,Public Sector,Cheshire Constabulary,
Cheshire Constabulary,26.2,Public administration and defence; compulsory social security,Cheshire Constabulary,
Chetham's School of Music,37,Education,Chetham's School Of Music,
Chetham's School of Music,37,"Arts, entertainment and recreation",Chetham's School Of Music,
CHEVRON ENERGY LIMITED,30.8,Administrative and support service activities,Chevron Energy,
Chichester College,24.4,Public Sector,Chichester College,
Chichester District Council,3.4,Public Sector,Chichester District Council,
CHILDRENSALON LIMITED,-14.1,Wholesale and retail trade; repair of motor vehicles and motorcycles,Childrensalon,
Chilford Hundred Education Trust,19.9,Public Sector,Chilford Hundred Education Trust,
Chilford Hundred Education Trust,19.9,Education,Chilford Hundred Education Trust,
Chiltern District Council,21.9,Public Sector,Chiltern District Council,
CHOICE HOTELS LIMITED,0,Accommodation and food service activities,Choice Hotels,
Choice Support,0,Human health and social work activities,Choice Support,
Choices Housing Association Ltd.,0,Real estate activities,Choices Housing Association,
Chokdee Ltd,7.5,Accommodation and food service activities,Chokdee,
Chorley Borough Council,0,Public Sector,Chorley Borough Council,
Chorley Borough Council,0,Public administration and defence; compulsory social security,Chorley Borough Council,
CHRIS HAYTER TRANSPORT LIMITED,18.3,Transportation and storage,Chris Hayter Transport,
Christians Against Poverty,9.6,"Professional, scientific and technical activities",Christians Against Poverty,
CHROMALLOY UNITED KINGDOM LIMITED,-2.8,Manufacturing,Chromalloy United Kingdom,
CHURCHILL ACADEMY,5.1,Education,Churchill Academy,
CINEWORLD CINEMAS LIMITED,2.1,Information and communication,Cineworld Cinemas,
Circadian Trust,-10,"Arts, entertainment and recreation",Circadian Trust,
Cirrus Logic International Semiconductor Ltd.,25.7,Information and communication,Cirrus Logic International Semiconductor,
